frame,timestamp,acc x (m/s^2),acc y (m/s^2),acc z (m/s^2),gyro x (rad/s),gyro y (rad/s),gyro z (rad/s),x (Ground truth),y (Ground truth),z (Ground truth),yaw (Ground Truth),pitch (Ground Truth),roll (Ground Truth)
4741,117.3841967387707,0.0,-0.0,0.010000228881835938,-0.0,-0.0,-0.0,-23.800546646118164,61.24238586425781,0.09412002563476562,-0.5967352390289307,-0.0,0.0
4742,117.39419673854718,0.0,-0.0,0.01007843017578125,-0.0,-0.0,-0.0,-23.800546646118164,61.24238586425781,0.0902000442147255,-0.5967352390289307,-0.0,0.0
4743,117.40419673832366,0.0,-0.0,0.009688377380371094,-0.0,-0.0,-0.0,-23.800546646118164,61.24238586425781,0.0853000208735466,-0.5967352390289307,-0.0,0.0
4744,117.41419673810015,0.0,-0.0,0.01007843017578125,-0.0,-0.0,-0.0,-23.800546646118164,61.24238586425781,0.07942001521587372,-0.5967352390289307,-0.0,0.0
4745,117.42419673787663,0.0,-0.0,3.618281841278076,7.764093425066676e-06,3.1802646844880655e-06,3.052793478078297e-14,-23.800546646118164,61.24238586425781,0.07292083650827408,-0.5967352390289307,-0.0,0.0
4746,117.43419673765311,0.0,-0.0,15.623672485351562,3.7483478081412613e-06,2.2674150841339724e-06,1.2305662044909127e-10,-23.800546646118164,61.24238586425781,0.06700301915407181,-0.5967352390289307,-0.0,0.0
4747,117.44419673742959,0.0,-0.0,14.684375762939453,2.439925310682156e-06,1.6787168988230405e-06,-1.0622225321554879e-10,-23.800546646118164,61.24238586425781,0.06157264485955238,-0.5967352390289307,-0.0,0.0
4748,117.45419673720608,0.0,-0.0,14.286523818969727,2.609408966236515e-06,1.7602388879822684e-06,-1.2580575470266808e-11,-23.800546646118164,61.24238586425781,0.05658992752432823,-0.5967352390289307,-0.0,0.0
4749,117.46419673698256,0.0,-0.0,13.921133041381836,2.7156618216395145e-06,1.1194910030098981e-06,-7.372980004305418e-11,-23.800546646118164,61.24238586425781,0.05201831832528114,-0.5967352390289307,-0.0,0.0
4750,117.47419673675904,0.0,-0.0,13.585039138793945,2.1767066300526494e-06,1.5096852621354628e-06,-1.133676486020363e-12,-23.800546646118164,61.24238586425781,0.04782421141862869,-0.5967352390289307,-0.0,0.0
4751,117.48419673653552,0.0,-0.0,13.276406288146973,7.206526220215892e-07,8.39585197809356e-07,-1.248986469803981e-10,-23.800546646118164,61.24238586425781,0.04397674277424812,-0.5967352390289307,-0.0,0.0
4752,117.494196736312,0.0,-0.0,12.992578506469727,7.640011858711659e-07,1.442740824586508e-07,-1.120500914275624e-11,-23.800546646118164,61.24238586425781,0.04044754058122635,-0.5967352390289307,-0.0,0.0
4753,117.50419673608849,0.0,-0.0,12.731719017028809,1.5151132402024814e-06,5.051587663729151e-07,-3.6573744033319144e-11,-23.800546646118164,61.24238586425781,0.03721050173044205,-0.5967352390289307,-0.0,0.0
4754,117.51419673586497,0.0,-0.0,12.492071151733398,1.5397897641378222e-06,5.098428346173023e-07,1.719631381735809e-11,-23.800546646118164,61.24238586425781,0.034241676330566406,-0.5967352390289307,-0.0,0.0
4755,117.52419673564145,0.0,-0.0,12.272031784057617,9.341625855086022e-07,1.627390133762674e-07,-1.1637707464373648e-10,-23.800546646118164,61.24238586425781,0.031519051641225815,-0.5967352390289307,-0.0,0.0
4756,117.53419673541794,0.0,-0.0,12.069063186645508,2.96973912128351e-08,5.132670253260585e-07,3.8845510141882755e-11,-23.800546646118164,61.24238586425781,0.029022330418229103,-0.5967352390289307,-0.0,0.0
4757,117.54419673519442,0.0,-0.0,11.883652687072754,4.4065725290920454e-08,-1.8750408514733863e-07,-9.503517417464025e-11,-23.800546646118164,61.24238586425781,0.026732977479696274,-0.5967352390289307,-0.0,0.0
4758,117.5541967349709,0.0,-0.0,11.712793350219727,2.661942488657587e-08,-2.063637651872341e-07,-2.085798200823774e-11,-23.800546646118164,61.24238586425781,0.024633903056383133,-0.5967352390289307,-0.0,0.0
4759,117.56419673474738,0.0,-0.0,11.555976867675781,-1.284427497694196e-08,4.907338393422833e-07,1.0381204229581442e-10,-23.800546646118164,61.24238586425781,0.022709425538778305,-0.5967352390289307,-0.0,0.0
4760,117.57419673452387,0.0,-0.0,11.41177749633789,8.689244168635923e-07,1.3181329450162593e-07,-4.6278411658384755e-11,-23.800546646118164,61.24238586425781,0.020945128053426743,-0.5967352390289307,-0.0,0.0
4761,117.58419673430035,0.0,-0.0,11.279824256896973,-5.086518939378948e-08,4.635485026938113e-07,5.956957149777509e-12,-23.800546646118164,61.24238586425781,0.019327811896800995,-0.5967352390289307,-0.0,0.0
4762,117.59419673407683,0.0,-0.0,11.158105850219727,-7.302086828531174e-07,9.872711359548703e-08,-8.63782378957012e-11,-23.800546646118164,61.24238586425781,0.017845306545495987,-0.5967352390289307,-0.0,0.0
4763,117.60419673385331,0.0,-0.0,11.046719551086426,-7.823010719221202e-07,7.71320074477444e-08,5.739980712959891e-11,-23.800546646118164,61.24238586425781,0.016486473381519318,-0.5967352390289307,-0.0,0.0
4764,117.6141967336298,0.0,-0.0,10.944501876831055,5.400851819103991e-07,6.188166423726216e-08,-1.4306555939924692e-11,-23.800546646118164,61.24238586425781,0.015241088345646858,-0.5967352390289307,-0.0,0.0
4765,117.62419673340628,0.0,-0.0,10.850263595581055,7.514868798352836e-07,-6.676468728983309e-07,-8.758452296753205e-11,-23.800546646118164,61.24238586425781,0.014099731110036373,-0.5967352390289307,-0.0,0.0
4766,117.63419673318276,0.0,-0.0,10.764433860778809,-1.4852145113763981e-07,3.6056295016351214e-07,5.739447805908071e-11,-23.800546646118164,61.24238586425781,0.013053817674517632,-0.5967352390289307,-0.0,0.0
4767,117.64419673295924,0.0,-0.0,10.684717178344727,7.097777370290714e-07,1.2333323251567663e-09,1.890160250539452e-11,-23.800546646118164,61.24238586425781,0.01209537498652935,-0.5967352390289307,-0.0,0.0
4768,117.65419673273573,0.0,-0.0,10.612607955932617,-1.9379618265702447e-07,3.291761174750718e-07,7.475478569496374e-12,-23.800546646118164,61.24238586425781,0.011217193678021431,-0.5967352390289307,-0.0,0.0
