frame,timestamp,x,y,z,qw,qx,qy,qz,v_x (m/s),v_y (m/s),v_z (m/s),w_x (rad/s),w_y (rad/s),w_z (rad/s),acc x (m/s^2),acc y (m/s^2),acc z (m/s^2)
873,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
874,10000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
875,20000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
876,30000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
877,40000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
878,50000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
879,60000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
880,70000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
881,80000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
882,90000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
883,100000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
884,110000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
885,120000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
886,130000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
887,140000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
888,150000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
889,160000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
890,170000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
891,180000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
892,190000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
893,200000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
894,210000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
895,220000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
896,230000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
897,240000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
898,250000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
899,260000000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
900,270000000.0,0.0,6.2217819508e-05,0.0,1.0,0.0,0.0,0.0,4.51788935152e-08,-0.00622197147459,3.00168458969e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
901,280000000.0,3.5527136788e-15,0.000114898779429,-2.84217094304e-14,1.0,0.0,0.0,0.0,1.01392558349e-07,-0.00526702869684,-1.80671619896e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
902,290000000.0,3.5527136788e-15,0.000159187358804,-1.42108547152e-14,1.0,0.0,0.0,0.0,1.05093789671e-07,-0.00443021766841,1.46440637385e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
903,300000000.0,0.0,0.000196228036653,0.0,1.0,0.0,0.0,0.0,1.11881050202e-07,-0.00370253552683,2.70199063124e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
904,310000000.0,0.0,0.000226898235269,-1.42108547152e-14,1.0,0.0,0.0,0.0,2.90184765106e-08,-0.00306868553162,-2.02921857098e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
905,320000000.0,3.5527136788e-15,0.000252075260502,0.0,1.0,0.0,0.0,0.0,1.06619971518e-07,-0.00251790042967,-2.93011681628e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
906,330000000.0,3.5527136788e-15,0.000272483914156,-1.42108547152e-14,1.0,0.0,0.0,0.0,-1.4131659043e-07,-0.00204015732743,9.91547377495e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
907,340000000.0,0.0,0.000288772629574,0.0,1.0,0.0,0.0,0.0,-1.54631464966e-07,-0.00162787432782,-6.92267665447e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
908,350000000.0,3.5527136788e-15,0.000301513704475,0.0,1.0,0.0,0.0,0.0,-2.21660130251e-07,-0.00127247802448,8.68268568133e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
909,360000000.0,3.5527136788e-15,0.000311164883897,-2.84217094304e-14,1.0,0.0,0.0,0.0,-2.65910387043e-07,-0.000966625171714,-8.15600920151e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
910,370000000.0,0.0,0.000318222097125,0.0,1.0,0.0,0.0,0.0,8.73454766293e-08,-0.00070595741272,8.35250890663e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
911,380000000.0,3.5527136788e-15,0.000323066720743,-2.84217094304e-14,1.0,0.0,0.0,0.0,2.05852771273e-07,-0.000484828924527,-2.34655388454e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
912,390000000.0,0.0,0.000326004112143,0.0,1.0,0.0,0.0,0.0,1.96641693151e-07,-0.000295228965115,-7.10086256467e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
913,400000000.0,0.0,0.000327377347272,-1.42108547152e-14,1.0,0.0,0.0,0.0,5.13109128519e-08,-0.000136852264404,6.8624812499e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
914,410000000.0,0.0,0.000327377347272,-1.42108547152e-14,1.0,0.0,0.0,0.0,2.16520149365e-07,-3.78608706342e-06,2.12449187131e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
915,420000000.0,0.0,0.000326347420923,-1.42108547152e-14,1.0,0.0,0.0,0.0,3.19813082683e-08,0.000105962753878,-2.58467593994e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
