ORBextractor_nFeatures,RMSE_1,RMSE_2,RMSE_3,Avg_RMSE
500,1.157091,2.728438,2.147116,2.01088166666667
600,1.350607,1.839766,1.85802,1.68279766666667
700,1.428409,2.475185,1.737133,1.88024233333333
800,2.850256,1.864585,2.305463,2.34010133333333
900,2.139661,2.406126,2.569797,2.37186133333333
1000,2.415058,2.190332,2.931732,2.512374
1100,3.101792,4.221365,3.510707,3.611288
1200,4.883815,4.251042,3.613255,4.24937066666667
1300,5.540939,5.117786,5.867598,5.50877433333333
1400,8.23613,8.944524,7.745068,8.308574
1500,13.950386,10.379416,16.015787,13.4485296666667
1600,19.404038,16.877179,15.271535,17.1842506666667
1700,22.144922,23.656364,22.123387,22.6415576666667
1800,22.776836,22.570978,22.251898,22.5332373333333
1900,25.135618,21.951393,28.150577,25.079196
2000,26.635729,29.541594,30.340735,28.8393526666667
