Generation,Solution,Fitness,Parameters
0,"""010011101001011010001111""",2.1652328968048096,"(51.0, 865.0, 26.0, 9.0)"
0,"""001010100001000101001110""",2.0415871143341064,"(37.0, 631.0, 26.0, 9.0)"
0,"""000111110111101110000010""",4.94017219543457,"(32.0, 1268.0, 20.0, 7.0)"
0,"""101001101110110001100111""",1.964637041091919,"(86.0, 1016.0, 38.0, 13.0)"
1,"""001010100001000101001110""",2.24849009513855,"(37.0, 631.0, 26.0, 9.0)"
1,"""101001101010010101000000""",0.7368559837341309,"(86.0, 891.0, 18.0, 6.0)"
1,"""100100011110100011110111""",2.3914389610290527,"(77.0, 1460.0, 46.0, 16.0)"
1,"""101001101110110001110111""",2.2689990997314453,"(86.0, 1016.0, 46.0, 16.0)"
2,"""100011011111100101000110""",2.0025899410247803,"(76.0, 1489.0, 22.0, 7.0)"
2,"""001011001111110010010010""",2.7853779792785645,"(38.0, 1045.0, 28.0, 9.0)"
2,"""000011111110110001100000""",5.102950096130371,"(26.0, 1466.0, 35.0, 12.0)"
2,"""011000011111001010000010""",2.1884100437164307,"(58.0, 1477.0, 20.0, 7.0)"
3,"""101110111101000101101110""",1.831773042678833,"(94.0, 1419.0, 42.0, 14.0)"
3,"""011100111011101101010011""",1.708778977394104,"(65.0, 1380.0, 28.0, 9.0)"
3,"""000111100011101001101100""",2.12579607963562,"(32.0, 703.0, 41.0, 14.0)"
3,"""011011111101100001111110""",2.7402329444885254,"(64.0, 1431.0, 50.0, 17.0)"
4,"""010000100100010010110011""",1.6948820352554321,"(46.0, 721.0, 44.0, 15.0)"
4,"""001011110010110010111110""",3.064249038696289,"(39.0, 1129.0, 50.0, 17.0)"
4,"""101110111101000101101110""",1.9562439918518066,"(94.0, 1419.0, 42.0, 14.0)"
4,"""101101110100010110010101""",1.7887790203094482,"(92.0, 1173.0, 29.0, 10.0)"
*,*,*,*
0,"""100011011111100101000110""",0.8553850054740906,"(76.0, 1489.0, 22.0, 7.0)"
1,"""101001101010010101000000""",0.7368559837341309,"(86.0, 891.0, 18.0, 6.0)"
2,"""101001101010010101000000""",0.7368559837341309,"(86.0, 891.0, 18.0, 6.0)"
3,"""101001101010010101000000""",0.7368559837341309,"(86.0, 891.0, 18.0, 6.0)"
4,"""101001101010010101000000""",0.7368559837341309,"(86.0, 891.0, 18.0, 6.0)"
