Generation,Solution,Fitness,Parameters,Fittest
0,"""111010100001110000110000""",0.5785229802131653,"(113.0, 650.0, 43.0, 15.0)",Fittest
0,"""110110000011101110101000""",0.7303429841995239,"(106.0, 705.0, 39.0, 13.0)",Elite
0,"""111101000111001001110000""",0.7586510181427002,"(117.0, 801.0, 43.0, 15.0)",Elite
0,"""110001001111110000010010""",1.340103030204773,"(98.0, 1044.0, 28.0, 9.0)",Population
0,"""011010001000001111110000""",0.7783370018005371,"(61.0, 832.0, 43.0, 15.0)",Population
0,"""110110000011101110101000""",0.8214550018310547,"(106.0, 705.0, 39.0, 13.0)",Population
0,"""111010100001110000100000""",0.5452190041542053,"(113.0, 650.0, 35.0, 12.0)",Population
0,"""110110000011101110101100""",0.8314030170440674,"(106.0, 705.0, 41.0, 14.0)",Population
0,"""010101101000000100010100""",1.1706620454788208,"(54.0, 827.0, 29.0, 10.0)",Population
0,"""111101000111001001110000""",1.0198839902877808,"(117.0, 801.0, 43.0, 15.0)",Population
0,"""011010001000011111110000""",0.8761550188064575,"(61.0, 839.0, 43.0, 15.0)",Population
0,"""110110000011101110101000""",0.5018849968910217,"(106.0, 705.0, 39.0, 13.0)",Population
0,"""111101000111001001110000""",0.8807169795036316,"(117.0, 801.0, 43.0, 15.0)",Population
0,"""111010100001110000110000""",1.042080044746399,"(113.0, 650.0, 43.0, 15.0)",Population
0,"""010110000010101110111000""",1.8671029806137085,"(55.0, 677.0, 47.0, 16.0)",Population
0,"""011000101110010011101100""",0.7798600196838379,"(59.0, 1003.0, 41.0, 14.0)",Population
0,"""010010100110000110100011""",0.5854920148849487,"(50.0, 772.0, 36.0, 12.0)",Population
0,"""000011101110010100011010""",1.4501579999923706,"(26.0, 1003.0, 32.0, 11.0)",Population
0,"""111010100001110000110000""",0.8217960000038147,"(113.0, 650.0, 43.0, 15.0)",Population
0,"""100111100010111110001001""",0.6317399740219116,"(83.0, 684.0, 23.0, 8.0)",Population
0,"""011010001000001111110010""",0.6313549876213074,"(61.0, 832.0, 44.0, 15.0)",Population
0,"""111010100001110000110000""",0.5858950018882751,"(113.0, 650.0, 43.0, 15.0)",Population
0,"""111101000111001001110000""",0.6669059991836548,"(117.0, 801.0, 43.0, 15.0)",Population
0,"""110111000011101110101000""",1.1042410135269165,"(107.0, 705.0, 39.0, 13.0)",Population
0,"""011100101100001011010011""",1.0530619621276855,"(65.0, 943.0, 28.0, 9.0)",Population
0,"""000011101110010100011010""",1.4928020238876343,"(26.0, 1003.0, 32.0, 11.0)",Population
0,"""011000101110011011111100""",10.557454109191895,"(59.0, 1006.0, 49.0, 17.0)",Population
0,"""100101010000011100000001""",1.1778080463409424,"(79.0, 1063.0, 19.0, 6.0)",Population
0,"""010101101000000100010100""",1.7177250385284424,"(54.0, 827.0, 29.0, 10.0)",Population
0,"""100111100010111110001001""",0.5850740075111389,"(83.0, 684.0, 23.0, 8.0)",Population
0,"""011010001000001111110000""",0.6924059987068176,"(61.0, 832.0, 43.0, 15.0)",Population
1,"""110110000011101110101000""",0.5018849968910217,"(106.0, 705.0, 39.0, 13.0)",Fittest
1,"""111010100001110000100000""",0.5452190041542053,"(113.0, 650.0, 35.0, 12.0)",Elite
1,"""111010100001110000110000""",0.5785229802131653,"(113.0, 650.0, 43.0, 15.0)",Elite
1,"""110110000011111110101000""",1.1047840118408203,"(106.0, 712.0, 39.0, 13.0)",Population
1,"""100111100010111110001001""",0.6514000296592712,"(83.0, 684.0, 23.0, 8.0)",Population
1,"""111010100000000000110010""",0.8015909790992737,"(113.0, 600.0, 44.0, 15.0)",Population
1,"""011010001001111111100010""",0.7487819790840149,"(61.0, 881.0, 36.0, 12.0)",Population
1,"""111011100001110000111000""",0.8820120096206665,"(114.0, 650.0, 47.0, 16.0)",Population
1,"""100111100010111110001001""",0.6748639941215515,"(83.0, 684.0, 23.0, 8.0)",Population
1,"""011010001000001111110000""",1.278833031654358,"(61.0, 832.0, 43.0, 15.0)",Population
1,"""111010100001110000100000""",0.8697400093078613,"(113.0, 650.0, 35.0, 12.0)",Population
1,"""111010100001110000100000""",0.5816069841384888,"(113.0, 650.0, 35.0, 12.0)",Population
1,"""110110000011101110101000""",0.6891710162162781,"(106.0, 705.0, 39.0, 13.0)",Population
1,"""110110000011101110101000""",0.670723021030426,"(106.0, 705.0, 39.0, 13.0)",Population
1,"""011010001000001111110000""",1.2876319885253906,"(61.0, 832.0, 43.0, 15.0)",Population
1,"""001010001000001111110010""",3.244291067123413,"(36.0, 832.0, 44.0, 15.0)",Population
1,"""111010100001110000110000""",0.7434260249137878,"(113.0, 650.0, 43.0, 15.0)",Population
1,"""100111100010111110001101""",0.761497974395752,"(83.0, 684.0, 25.0, 8.0)",Population
1,"""111010100001110000110000""",0.9073309898376465,"(113.0, 650.0, 43.0, 15.0)",Population
