,Generation,Solution,Fitness,Parameters,Fittest
26,0,"""101001000011100001010101""",0.433699011803,"(85.0, 699.0, 29.0, 10.0)",Population
41,1,"""001111111011010011000011""",0.42729100585,"(45.0, 1369.0, 20.0, 7.0)",Population
62,2,"""001111111011010011000011""",0.42729100585,"(45.0, 1369.0, 20.0, 7.0)",Fittest
108,3,"""001110111010000011000011""",0.422091007233,"(43.0, 1333.0, 20.0, 7.0)",Population
147,4,"""001111111011010011000011""",0.400656014681,"(45.0, 1369.0, 20.0, 7.0)",Population
155,5,"""001111111011010011000011""",0.400656014681,"(45.0, 1369.0, 20.0, 7.0)",Fittest
186,6,"""001111111011010011000011""",0.400656014681,"(45.0, 1369.0, 20.0, 7.0)",Fittest
217,7,"""001111111011010011000011""",0.400656014681,"(45.0, 1369.0, 20.0, 7.0)",Fittest
248,8,"""001111111011010011000011""",0.400656014681,"(45.0, 1369.0, 20.0, 7.0)",Fittest
279,9,"""001111111011010011000011""",0.400656014681,"(45.0, 1369.0, 20.0, 7.0)",Fittest
310,10,"""001111111011010011000011""",0.400656014681,"(45.0, 1369.0, 20.0, 7.0)",Fittest
341,11,"""001111111011010011000011""",0.400656014681,"(45.0, 1369.0, 20.0, 7.0)",Fittest
372,12,"""001111111011010011000011""",0.400656014681,"(45.0, 1369.0, 20.0, 7.0)",Fittest
403,13,"""001111111011010011000011""",0.400656014681,"(45.0, 1369.0, 20.0, 7.0)",Fittest
434,14,"""001111111011010011000011""",0.400656014681,"(45.0, 1369.0, 20.0, 7.0)",Fittest
490,15,"""001111111011010011000011""",0.394850999117,"(45.0, 1369.0, 20.0, 7.0)",Population
496,16,"""001111111011010011000011""",0.394850999117,"(45.0, 1369.0, 20.0, 7.0)",Fittest
527,17,"""001111111011010011000011""",0.394850999117,"(45.0, 1369.0, 20.0, 7.0)",Fittest
558,18,"""001111111011010011000011""",0.394850999117,"(45.0, 1369.0, 20.0, 7.0)",Fittest
589,19,"""001111111011010011000011""",0.394850999117,"(45.0, 1369.0, 20.0, 7.0)",Fittest
620,20,"""001111111011010011000011""",0.394850999117,"(45.0, 1369.0, 20.0, 7.0)",Fittest
651,21,"""001111111011010011000011""",0.394850999117,"(45.0, 1369.0, 20.0, 7.0)",Fittest
682,22,"""001111111011010011000011""",0.394850999117,"(45.0, 1369.0, 20.0, 7.0)",Fittest
713,23,"""001111111011010011000011""",0.394850999117,"(45.0, 1369.0, 20.0, 7.0)",Fittest
744,24,"""001111111011010011000011""",0.394850999117,"(45.0, 1369.0, 20.0, 7.0)",Fittest
775,25,"""001111111011010011000011""",0.394850999117,"(45.0, 1369.0, 20.0, 7.0)",Fittest
806,26,"""001111111011010011000011""",0.394850999117,"(45.0, 1369.0, 20.0, 7.0)",Fittest
837,27,"""001111111011010011000011""",0.394850999117,"(45.0, 1369.0, 20.0, 7.0)",Fittest
868,28,"""001111111011010011000011""",0.394850999117,"(45.0, 1369.0, 20.0, 7.0)",Fittest
899,29,"""001111111011010011000011""",0.394850999117,"(45.0, 1369.0, 20.0, 7.0)",Fittest
