Generation,Solution,Fitness,Parameters
0,011100100001011100,2.17094802856,"(65.0, 641.0)"
0,111111110101010101,2.00527596474,"(120.0, 1201.0)"
0,010101001111100010,2.19190502167,"(54.0, 1038.0)"
0,111000000000010111,1.72181296349,"(109.0, 611.0)"
0,110110101111001110,1.25283002853,"(106.0, 1029.0)"
0,011000100010110011,1.30677700043,"(59.0, 679.0)"
0,111110000010000101,1.27774405479,"(118.0, 659.0)"
0,000101001111001010,3.52745199203,"(28.0, 1027.0)"
0,011101100011110010,1.61826503277,"(67.0, 707.0)"
1,100000011010111011,1.634147048,"(71.0, 1358.0)"
1,110110101110111110,1.04465401173,"(106.0, 1022.0)"
1,100011100001010101,1.93676805496,"(76.0, 638.0)"
1,111101111110101101,0.441505998373,"(117.0, 1464.0)"
1,000101001001111011,1.90092098713,"(28.0, 880.0)"
2,110010000110001000,1.37337899208,"(99.0, 773.0)"
2,010100100111011101,2.32999706268,"(53.0, 810.0)"
2,001100001000000100,2.29480099678,"(39.0, 827.0)"
2,100101100101011100,1.60476100445,"(80.0, 754.0)"
3,010000100011100110,1.59579598904,"(46.0, 702.0)"
3,001001100111110010,2.21546602249,"(35.0, 819.0)"
3,111000000001101110,1.37624299526,"(109.0, 649.0)"
3,000100011001101011,7.77600622177,"(27.0, 1323.0)"
4,001101001010010001,2.52141809464,"(41.0, 889.0)"
4,000101110111111001,5.5144572258,"(29.0, 1273.0)"
4,110001100111110100,1.11083996296,"(98.0, 820.0)"
4,100110001111110011,0.996001005173,"(80.0, 1045.0)"
