#timestamp [ns], p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
1520437769098024422,0.4910476599,0.0933082750,1.1791576495,0.9999577724,0.0091170291,0.0005039043,0.0010389141
1520437769106357422,0.4910522332,0.0932280167,1.1791617828,0.9999589435,0.0089959096,0.0006889889,0.0008427073
1520437769114690422,0.4910473226,0.0931362154,1.1791479985,0.9999596478,0.0089133003,0.0008936490,0.0006762325
1520437769123023422,0.4909859358,0.0930280903,1.1791954022,0.9999619606,0.0086295062,0.0011730080,0.0004826345
1520437769131357422,0.4909423229,0.0929551216,1.1791486481,0.9999606705,0.0087927801,0.0011503338,0.0001455916
1520437769139690422,0.4908702412,0.0928175100,1.1791254695,0.9999602276,0.0088384337,0.0011633868,-0.0002678953
1520437769148023422,0.4905003431,0.0924089651,1.1792965707,0.9999654827,0.0079661945,0.0022830574,-0.0006006261
1520437769156357422,0.4903814972,0.0922047867,1.1792496353,0.9999645189,0.0079788245,0.0023579419,-0.0013188451
1520437769164690422,0.4903167007,0.0919681469,1.1791793078,0.9999611229,0.0082385381,0.0025884656,-0.0017829613
1520437769173024422,0.4902536236,0.0917443034,1.1790888420,0.9999583842,0.0083401083,0.0026355702,-0.0025935169
1520437769181357422,0.4902408276,0.0915522851,1.1789821127,0.9999536140,0.0087500490,0.0029360206,-0.0027543328
1520437769189690422,0.4902370815,0.0914492737,1.1787993548,0.9999462530,0.0093453372,0.0030386507,-0.0033048935
1520437769198023422,0.4902908192,0.0912994965,1.1786728829,0.9999422387,0.0096544017,0.0030691688,-0.0035905303
1520437769206357422,0.4903755254,0.0911860738,1.1785561606,0.9999383662,0.0100014365,0.0030507572,-0.0037320170
1520437769214690422,0.4904405769,0.0911015237,1.1784088505,0.9999339254,0.0103996809,0.0028598934,-0.0039764791
1520437769223024422,0.4905227614,0.0909848189,1.1783277343,0.9999283206,0.0108557108,0.0029804992,-0.0040772331
1520437769231357422,0.4905948262,0.0908468534,1.1782295932,0.9999266828,0.0109640925,0.0026221188,-0.0044206499
1520437769239690422,0.4905925179,0.0907123200,1.1781588600,0.9999231445,0.0111498567,0.0027465919,-0.0046735451
1520437769248023422,0.4905950038,0.0905390767,1.1780949514,0.9999201658,0.0112212237,0.0027982735,-0.0050907595
1520437769256357422,0.4905903332,0.0903588995,1.1781006841,0.9999188065,0.0111616452,0.0027969175,-0.0054749687
1520437769264690422,0.4906094935,0.0901576168,1.1780682756,0.9999182672,0.0109848048,0.0027887095,-0.0059174449
1520437769273023422,0.4905968832,0.0900108685,1.1780531592,0.9999169740,0.0108554384,0.0028309611,-0.0063395784
1520437769281357422,0.4906098757,0.0898816776,1.1780667577,0.9999165249,0.0106711099,0.0029943631,-0.0066411218
1520437769289690422,0.4906450297,0.0897712447,1.1780836618,0.9999181569,0.0104053123,0.0029418400,-0.0068377268
