#timestamp [ns], p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
1520520700828177550,0.5864229300,0.0359696124,1.2574306697,0.9991100353,0.0371033954,0.0069969158,-0.0188020873
1520520700836510550,0.5863924718,0.0360657417,1.2574685579,0.9991248788,0.0366874264,0.0066527912,-0.0189538824
1520520700844844550,0.5864185670,0.0360808943,1.2575123284,0.9991458755,0.0362918851,0.0065932952,-0.0186265160
1520520700853177550,0.5863622805,0.0361739853,1.2575714841,0.9991482261,0.0361255592,0.0065470574,-0.0188388527
1520520700861510550,0.5863320076,0.0362450568,1.2576054816,0.9991477511,0.0360717984,0.0065211640,-0.0189755416
1520520700869843550,0.5862419017,0.0363902470,1.2576382994,0.9991318782,0.0362671748,0.0066684660,-0.0193833317
1520520700878177550,0.5861935267,0.0364491805,1.2576538811,0.9991238214,0.0364647129,0.0068210008,-0.0193749369
1520520700886510550,0.5861577321,0.0365453720,1.2576140476,0.9991112362,0.0366842207,0.0066452336,-0.0196684143
1520520700894843550,0.5861521656,0.0366062827,1.2576030558,0.9990901990,0.0371926764,0.0067593099,-0.0197431233
1520520700903177550,0.5857656106,0.0364946762,1.2576984912,0.9990881629,0.0372242265,0.0078597144,-0.0193758750
1520520700911510550,0.5857261643,0.0365761306,1.2576580813,0.9990744601,0.0375229573,0.0079444005,-0.0194714494
1520520700919844550,0.5858988597,0.0368670537,1.2575061921,0.9990316054,0.0385068365,0.0076536311,-0.0198619481
1520520700928177550,0.5856627726,0.0367530364,1.2575370004,0.9990323432,0.0384378778,0.0082957723,-0.0196999215
1520520700936510550,0.5856172795,0.0367685287,1.2574898649,0.9990219549,0.0386724412,0.0083881456,-0.0197285326
1520520700944844550,0.5855786899,0.0368648566,1.2574241438,0.9990007624,0.0390591280,0.0085819118,-0.0199552522
1520520700953177550,0.5855064692,0.0369660934,1.2573031863,0.9989690466,0.0397183841,0.0086005870,-0.0202317520
1520520700961510550,0.5855870783,0.0369428477,1.2573146295,0.9989643964,0.0395695493,0.0086423382,-0.0207290976
1520520700969844550,0.5854400429,0.0370612239,1.2572198138,0.9989349927,0.0402570099,0.0090511554,-0.0206477649
1520520700978177550,0.5853696679,0.0371272648,1.2571599235,0.9989080848,0.0407005655,0.0091234679,-0.0210443455
1520520700986510550,0.5853407117,0.0371780543,1.2570953838,0.9988873307,0.0409687008,0.0093949928,-0.0213869191
1520520700994843550,0.5852809600,0.0372250333,1.2570051708,0.9988699578,0.0412050607,0.0096779381,-0.0216168440
1520520701003177550,0.5852392844,0.0372132190,1.2569283987,0.9988556093,0.0413593214,0.0100104303,-0.0218327649
1520520701011510550,0.5851938793,0.0372162254,1.2568945375,0.9988479921,0.0412960700,0.0102252231,-0.0221983824
1520520701019843550,0.5851326919,0.0372874804,1.2568220372,0.9988199054,0.0415926251,0.0106148854,-0.0227194680
1520520701028177550,0.5850555132,0.0372421327,1.2567750426,0.9988185315,0.0413842571,0.0108249923,-0.0230587061
1520520701036510550,0.5850172153,0.0372862193,1.2566762005,0.9987922305,0.0416549157,0.0109316327,-0.0236526466
1520520701044844550,0.5849884613,0.0372224679,1.2566253482,0.9987761311,0.0418369064,0.0109958708,-0.0239792417
1520520701053177550,0.5849612426,0.0371537341,1.2565562337,0.9987685718,0.0419796917,0.0111435688,-0.0239763715
1520520701061510550,0.5848658096,0.0370004292,1.2564673697,0.9987770939,0.0419209187,0.0108453574,-0.0238606696
1520520701069844550,0.5848339662,0.0369314396,1.2563539412,0.9987834938,0.0417700054,0.0104244195,-0.0240443492
1520520701078177550,0.5848608191,0.0367861219,1.2562905881,0.9987929163,0.0415400652,0.0094639558,-0.0244451830
1520520701086510550,0.5848750318,0.0369215993,1.2561298969,0.9987376956,0.0425272618,0.0089618294,-0.0251819992
1520520701094844550,0.5848017621,0.0368055707,1.2560137093,0.9987470134,0.0426944533,0.0084091080,-0.0247158625
1520520701103177550,0.5846603122,0.0369323657,1.2558002835,0.9987112360,0.0433569007,0.0078927372,-0.0251744114
1520520701111510550,0.5847480603,0.0369046348,1.2557180209,0.9987038661,0.0433916556,0.0071321941,-0.0256297474
1520520701119843550,0.5846656558,0.0366527623,1.2556868611,0.9987527506,0.0427692065,0.0066569726,-0.0248882070
1520520701128177550,0.5846493884,0.0365938976,1.2556457140,0.9987707244,0.0424529025,0.0062488119,-0.0248141806
1520520701136510550,0.5846137985,0.0365954690,1.2555834039,0.9987827133,0.0422683462,0.0059634001,-0.0247167241
1520520701144843550,0.5845982546,0.0365383998,1.2555510343,0.9987994355,0.0420186520,0.0056180147,-0.0245470657
1520520701153177550,0.5846056758,0.0364658877,1.2555448211,0.9988219710,0.0416583784,0.0053030415,-0.0243131149
1520520701161510550,0.5845493213,0.0365413522,1.2554539491,0.9988197032,0.0417936796,0.0050434261,-0.0242291695
1520520701169844550,0.5845776233,0.0364417147,1.2554517977,0.9988501545,0.0413300247,0.0047565214,-0.0238238012
1520520701178177550,0.5845932487,0.0363509088,1.2554363400,0.9988747392,0.0410288044,0.0045526981,-0.0233487806
1520520701186510550,0.5846122390,0.0362646485,1.2554216079,0.9988993676,0.0406268769,0.0041399486,-0.0230731681
1520520701194844550,0.5846144387,0.0362157060,1.2553886385,0.9989202340,0.0403056851,0.0037842584,-0.0227924839
1520520701203177550,0.5846760787,0.0361089998,1.2553632374,0.9989344181,0.0401807998,0.0034468664,-0.0224421656
1520520701211510550,0.5846269604,0.0360641549,1.2552912062,0.9989396055,0.0402525690,0.0033231708,-0.0220986818
1520520701219844550,0.5846731395,0.0359373558,1.2552646044,0.9989561653,0.0400634934,0.0031217604,-0.0217198298
1520520701228177550,0.5846410620,0.0358745169,1.2552076094,0.9989572076,0.0401483211,0.0030289376,-0.0215275443
1520520701236510550,0.5846222605,0.0357868853,1.2551527882,0.9989589370,0.0401856923,0.0029315947,-0.0213906089
1520520701244843550,0.5845905264,0.0356553939,1.2551014759,0.9989688052,0.0400841734,0.0030301795,-0.0211045792
1520520701253177550,0.5845566096,0.0355454202,1.2550389546,0.9989672675,0.0400733867,0.0028625857,-0.0212209270
1520520701261510550,0.5844909701,0.0354398243,1.2549686386,0.9989698433,0.0401197981,0.0029982615,-0.0209920098
1520520701269843550,0.5844988772,0.0353153573,1.2549433795,0.9989684077,0.0401022959,0.0028750603,-0.0211106664
1520520701278177550,0.5843911208,0.0352330442,1.2548616377,0.9989670349,0.0401379345,0.0030869635,-0.0210779525
1520520701286510550,0.5843114679,0.0350906034,1.2548443924,0.9989710072,0.0399456608,0.0031545281,-0.0212442928
1520520701294844550,0.5841769947,0.0350153891,1.2547715343,0.9989672837,0.0399474780,0.0034809662,-0.0213646422
1520520701303177550,0.5840383913,0.0348776935,1.2547183983,0.9989611796,0.0400381211,0.0036495981,-0.0214520635
1520520701311510550,0.5838855920,0.0347805436,1.2546978275,0.9989594664,0.0399504080,0.0038629027,-0.0216570383
1520520701319844550,0.5837463815,0.0346500620,1.2546873423,0.9989573383,0.0399037764,0.0039402911,-0.0218265659
1520520701328177550,0.5835187016,0.0345772238,1.2546514832,0.9989482936,0.0399651499,0.0041234058,-0.0220927810
1520520701336510550,0.5833402379,0.0345047681,1.2545854490,0.9989360042,0.0402306406,0.0043016542,-0.0221325757
